project_id;committer;time;additions;deletions
6;3;1598;0;75
6;1;1598;0;75
6;1;1598;78;0
6;3;1595;94;0
6;1;1573;1;1
6;7;1596;94;0
6;1;1593;151;1
6;1;1573;1;1
6;1;1573;1;1
6;1;1573;1;1
6;1;1595;4;5
6;1;1573;147;136
6;3;1572;4;4
6;1;1573;321;1
6;3;1572;107;96
6;3;1572;132;132
6;1;1573;1;1
6;3;1571;408;0
6;1;1569;51;0
6;1;1571;286;11
12;8;3036;11;9
12;8;3058;11;4
12;9;3024;6;5
12;9;3024;5;8
12;11;3022;9;9
12;11;3023;52;5
12;11;3022;31;23
12;8;3025;9487;1008
12;10;3023;9346;941
12;10;3017;6;3
12;11;3020;16;14
12;8;3018;0;5
12;8;3017;6;3
12;8;3013;4;4
12;9;3013;4;4
12;8;3013;1;3
12;10;3013;83;1
12;10;3013;8;3
12;8;3013;91;4
12;12;3012;83;1
12;10;3017;31;12
12;10;2246;654;3262
12;13;2247;2;2
12;13;2233;3;3
12;13;2233;7;5
12;8;2232;102;5
12;10;2250;68;59
12;8;2232;3;3
12;13;2393;58;10
12;10;2377;72;7
12;12;2395;5;6
12;11;2374;5;5
12;11;2374;3;0
12;11;2374;50;56
12;12;2373;179;77
12;11;2371;176;76
12;11;2372;4;2
12;13;2393;1;1
12;10;2370;82;33
12;9;2370;35;42
12;9;2370;38;2
12;12;2373;5;5
12;9;2369;34;11
12;9;2369;50;14
12;9;2368;123;94
12;12;2368;1;8
12;12;2368;3;34
12;12;2369;38;2
12;12;2367;2;1
12;9;2367;115;39
12;13;2366;118;52
12;9;2368;29;17
12;10;2365;455;41
12;13;2366;463;2
12;10;2365;106;0
12;8;2365;14;2
12;9;2365;343;0
12;9;2365;24;4
12;13;2364;10;2
12;12;2363;13;5
12;12;2363;25;7
12;13;2363;26;7
12;13;2363;951;620
12;8;2362;0;0
12;13;2363;53;30
12;8;2362;988;643
12;8;2362;4;4
12;12;2363;1;0
12;10;2361;950;620
12;13;2361;38;23
12;13;2361;33;66
12;8;2361;1;1
12;8;2361;32;65
12;12;2361;32;9
12;12;2361;1;1
12;9;2360;104;26
12;9;2360;32;9
12;8;2362;2;0
12;12;2345;2;12
12;13;2345;66;22
12;8;2344;63;12
12;13;2345;3;0
12;13;2343;2;0
12;11;2352;6;19
12;13;2343;2;2
12;13;2343;0;0
12;13;2343;114;44
12;13;2343;2;3
12;8;2344;3;0
12;13;2343;49;14
12;10;2343;26;5
12;10;2343;1;1
12;10;2343;266;124
12;12;2343;51;8
12;10;2343;0;0
12;12;2343;26;5
12;9;2343;84;36
12;10;2343;10;17
12;9;2343;50;7
12;9;2343;17;0
12;13;2341;23;11
12;13;2341;80;34
12;8;2341;3;1
12;8;2343;80;34
12;9;2340;4;3
12;9;2340;20;10
12;13;2339;7;4
12;13;2339;1;0
12;9;2338;78;41
12;8;2343;1;1
12;9;2338;7;4
12;8;2338;8;6
12;13;2338;8;6
12;13;2338;78;41
12;8;2338;1;1
12;8;2337;19;12
12;10;2337;29;6
12;8;2337;3;3
12;13;2337;725;644
12;10;2337;10;5
12;13;2339;3;3
12;10;2337;12;8
12;8;2337;724;644
12;9;2337;3;2
12;13;2337;29;6
12;10;2326;721;642
12;8;2337;1;0
12;12;2318;24;26
12;13;2318;207;305
12;8;2318;189;298
12;11;2324;102;79
12;12;2318;189;298
12;13;2318;43;13
12;9;2316;19;13
12;13;2314;398;11
12;9;2317;15;7
12;13;2314;79;14
12;8;2314;24;3
12;9;2313;24;3
12;8;2314;41;6
12;8;2306;0;4
12;8;2306;335;0
12;8;2304;2;2
12;10;2302;4;4
12;10;2302;33;32
12;11;2302;17;17
12;8;2318;4;1
12;11;2302;278;48
12;10;2301;2;3
12;10;2302;42;17
12;10;2300;103;46
12;11;2301;41;40
12;10;2300;275;44
12;8;2299;1;1
12;13;2292;101;44
12;13;2272;46;13
12;8;2298;1;1
12;11;2371;336;147
12;13;2270;5;1
12;13;2272;55;45
12;10;2270;48;18
12;9;2269;21;14
12;13;2270;76;20
12;12;2269;21;14
12;10;2270;76;20
12;10;2370;416;211
12;9;2269;31;5
12;9;2269;56;44
12;13;2268;16;19
12;9;2269;0;0
12;13;2268;2;2
12;8;2266;37;13
12;13;2268;38;36
12;13;2266;64;1
12;13;2268;16;0
12;8;2265;63;0
12;13;2266;36;12
12;8;2266;1;1
12;9;2252;55;9
12;9;2249;38;35
12;10;2244;0;182
12;8;2266;2;2
12;10;2244;0;432
12;11;2256;19;21
12;10;2250;7;7
12;10;2244;0;191
12;10;2244;2066;1317
12;9;2246;26;6
12;10;2243;82;29
12;8;2232;278;135
12;13;2393;74;19
12;10;2392;82;47
12;10;2391;1226;2092
12;13;2366;19;2
12;8;2232;0;0
12;13;2366;14;18
12;9;2366;19;2
12;13;2365;37;43
12;9;2364;110;40
12;13;2364;90;23
12;13;2364;5;6
12;9;2364;31;11
12;13;2362;2;1
12;9;2369;53;38
12;9;2362;13;12
12;13;2362;0;0
12;9;2363;59;12
12;13;2362;426;163
12;13;2364;109;40
12;8;2362;208;171
12;8;2362;0;0
12;10;2362;224;0
12;10;2362;1;1
12;13;2362;16;16
12;10;2362;108;30
12;8;2362;374;129
12;13;2362;1;0
12;9;2361;19;17
12;10;2361;199;155
12;13;2351;18;13
12;8;2362;224;0
12;10;2349;174;67
12;13;2351;97;14
12;11;2349;152;70
12;13;2343;27;12
12;10;2343;49;31
12;10;2349;18;13
12;10;2343;25;12
12;10;2343;1;1
12;10;2343;36;34
12;13;2338;4;14
12;8;2342;1;1
12;13;2342;4;4
12;10;2340;117;131
12;13;2341;26;21
12;10;2338;186;143
12;9;2321;14;1
12;13;2338;47;41
12;9;2321;7;0
12;11;2321;7;0
12;13;2320;15;18
12;9;2344;25;0
12;13;2319;2;14
12;10;2319;1;1
12;12;2319;7;3
12;10;2319;24;4
12;13;2319;120;102
12;10;2318;60;0
12;12;2318;18;12
